,avg_area_income,house_age,number_of_rooms,number_of_bedrooms,area_population,price,street,zip_code,state,city,is_military
0,79545.46,5.7,7,4,23086.8,1059033.558,208 Michael Ferry Apt. 674,37010-5101,NE,Laurabury,0
1,79248.64,6.0,6,3,40173.072,1505890.915,188 Johnson Views Suite 079,48958,CA,Lake Kathleen,0
2,61287.07,5.9,8,5,36882.159,1058987.988,9127 Elizabeth Stravenue,06482-3489,WI,Danieltown,0
3,63345.24,7.2,5,3,34310.243,1260616.807,USS Barnett,44820,AP,FPO,1
4,59982.2,5.0,7,4,26354.109,630943.489,USNS Raymond,09386,AE,FPO,1
5,80175.75,5.0,6,4,26748.428,1068138.074,06039 Jennifer Islands Apt. 443,16077,KS,Tracyport,0
6,64698.46,6.0,8,3,60828.249,1502055.817,4759 Daniel Shoals Suite 442,20247,CO,Nguyenburgh,0
7,78394.34,7.0,6,2,36516.359,1573936.564,972 Joyce Viaduct,17778-6483,TN,Lake William,0
8,59927.66,5.4,6,2,29387.396,798869.533,USS Gilbert,20957,AA,FPO,1
9,81885.93,4.4,8,6,40149.966,1545154.813,Unit 9446 Box 0958,97025,AE,DPO,1
10,80527.47,8.1,5,4,47224.36,1707045.722,6368 John Motorway Suite 700,26854,NM,Janetbury,0
11,50593.7,4.5,7,4,34343.992,663732.397,911 Castillo Park Apt. 717,78603,PW,Davisborough,0
12,39033.81,7.7,7,3,39220.361,1042814.098,209 Natasha Stream Suite 961,52457,NE,Huffmanland,0
13,73163.66,6.9,5,2,32326.123,1291331.518,829 Welch Track Apt. 992,26532-5136,AR,North John,0
14,69391.38,5.3,8,4,35521.294,1402818.21,"PSC 5330, Box 4420",08302,AP,APO,1
15,73091.87,5.4,8,4,23929.524,1306674.66,2278 Shannon View,84617,NM,North Carriemouth,0
16,79706.96,5.1,8,3,39717.814,1556786.6,064 Hayley Unions,44161-1887,HI,Nicholsborough,0
